ID,Binomial,Country,Latitude,Longitude,Class,Order,Family,Genus,Species,System,Units,Native,Included in LPR2024,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1435,Gadus_morhua,Canada,46.0,-55.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,1,98263.02,95163.54,76354.19,71004.9,58480.55,46091.28,32710.72,38952.41,47669.28,60040.54,75312.91,79324.13,75104.42,79075.64,95167.91,99857.52,99066.36,86578.07,64570.99,52706.87,49519.58,43190.97,35713.39,32205.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Gadus_morhua,Canada,47.3,-63.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (Thousand tonnes),1,0,155746.7,137620.3,127155.5,104176.4,99587.14,89378.44,94750.98,135883.4,240617.3,306781.7,339229.5,372698.7,377816.1,381145.0,368381.8,382184.1,389344.3,339033.5,305070.1,275193.7,231268.6,186066.4,150570.5,120694.0,115083.0,115347.0,117398.9,119195.3,113073.6,105674.8,106960.5,109012.4,94206.2,78888.95,73788.95,62558.68,62558.68,57969.39,51336.83,44959.69,37815.98,39868.95,,,,,,,,,
1437,Gadus_morhua,Canada,44.0,-59.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,142121.0,138725.0,110753.0,93526.0,65324.0,63517.0,47905.0,57781.0,106035.0,149051.0,143832.0,162934.0,171483.0,184138.0,216117.0,221224.0,219330.0,183990.0,139000.0,126638.0,117284.0,92875.0,71500.0,41314.0,30745.0,24137.0,21714.0,22252.0,20354.0,14484.0,11686.0,10877.0,10126.0,9146.0,7787.0,7931.0,9351.0,13083.0,,,,,,,,,,,,,
1438,Gadus_morhua,Canada,43.0,-65.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (Thousand tonnes),1,0,64.6,62.0,56.8,59.4,57.8,59.2,69.2,74.6,77.6,78.2,83.4,81.6,75.2,67.8,59.2,52.2,45.6,45.8,51.4,56.0,62.8,56.8,44.4,36.2,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Gadus_morhua,United States,43.3,-68.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (kg per tow),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11600.0,12600.0,12900.0,10600.0,6730.0,3600.0,2530.0,2540.0,,,,,,
1440,Gadus_morhua,United States,41.0,-67.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,,,,,,,,,80600.0,89400.0,92800.0,86600.0,89800.0,78400.0,67300.0,55500.0,57500.0,68300.0,73700.0,72100.0,68300.0,52700.0,39600.0,30100.0,20900.0,21000.0,25000.0,26500.0,28700.0,,,,,,,,,,,,,,,,,,,,,,
1441,Gadus_morhua,Canada,50.44083,-47.89333,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass ('000)t,1,0,,,,,,,,,,,,,,1450.0,1400.0,1050.0,2643.0,1040.0,1050.0,1400.0,1150.0,700.0,175.0,45.0,10.0,15.0,20.0,20.0,20.0,25.0,30.0,25.0,20.0,10.0,20.0,25.0,60.0,100.0,,,,,,,,,,,,,
1442,Gadus_morhua,Canada,46.32778,-55.22361,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass (t),1,0,,,,,,,,,,,,,,68000.0,35000.0,85000.0,55000.0,98000.0,90000.0,50000.0,55000.0,45000.0,10000.0,7000.0,15000.0,142000.0,25000.0,5000.0,62000.0,37000.0,35000.0,,,,,,,,,,,,,,,,,,,,
1443,Gadus_morhua,Canada,46.86833,-58.07861,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass (t),1,0,,,,,,,,,,,,,,8000.0,7000.0,38000.0,41000.0,18000.0,45000.0,18000.0,40000.0,53000.0,23000.0,9000.0,17000.0,6000.0,12000.0,5000.0,38000.0,12000.0,14000.0,,,,,,,,,,,,,,,,,,,,
1444,Gadus_morhua,Norway,71.50722,15.33222,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB (tonnes),1,1,224482.0,311662.0,346511.0,332913.0,164491.0,142028.0,171238.0,341385.0,241536.0,174699.0,108253.0,166926.0,326133.0,327181.0,251087.0,193856.0,170729.0,121243.0,202582.0,234698.0,316206.0,704745.0,887563.0,775183.0,614866.0,528781.0,571620.0,588612.0,385946.0,292807.0,240096.0,354492.0,496423.0,547175.0,654572.0,606902.0,595285.0,649186.0,703780.0,1069646.0,1145460.0,1762057.0,1966081.0,2152909.0,1797496.0,,,,,,
